SL_NO,RESERVOIR,YEAR,WEEK_NO,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
1032,Hemavathi,2011,12,2011-03-25,19.90,2900.32,25,3450,HEMAVATHI-2011-03-25
1117,Hemavathi,2011,13,2011-03-26,19.59,2899.84,63,3450,HEMAVATHI-2011-03-26
1118,Hemavathi,2011,13,2011-03-27,19.29,2899.30,51,3450,HEMAVATHI-2011-03-27
1119,Hemavathi,2011,13,2011-03-28,18.99,2898.76,49,3450,HEMAVATHI-2011-03-28
1120,Hemavathi,2011,13,2011-03-29,18.99,2898.76,49,3450,HEMAVATHI-2011-03-29
1121,Hemavathi,2011,13,2011-03-30,18.38,2897.68,48,3450,HEMAVATHI-2011-03-30
1122,Hemavathi,2011,13,2011-03-31,18.07,2897.14,46,3450,HEMAVATHI-2011-03-31
1123,Hemavathi,2011,13,2011-04-01,17.77,2896.60,46,3450,HEMAVATHI-2011-04-01
1208,Hemavathi,2011,14,2011-04-02,17.46,2896.06,43,3450,HEMAVATHI-2011-04-02
1209,Hemavathi,2011,14,2011-04-03,17.16,2895.52,42,3450,HEMAVATHI-2011-04-03
1210,Hemavathi,2011,14,2011-04-04,16.87,2895.01,36,3250,HEMAVATHI-2011-04-04
1211,Hemavathi,2011,14,2011-04-05,16.59,2894.50,36,3250,HEMAVATHI-2011-04-05
1212,Hemavathi,2011,14,2011-04-06,16.29,2893.98,20,3300,HEMAVATHI-2011-04-06
1213,Hemavathi,2011,14,2011-04-07,16,2893.46,18,3300,HEMAVATHI-2011-04-07
1214,Hemavathi,2011,14,2011-04-08,15.71,2892.94,17,3300,HEMAVATHI-2011-04-08
1299,Hemavathi,2011,15,2011-04-09,15.41,2892.42,15,3300,HEMAVATHI-2011-04-09
1300,Hemavathi,2011,15,2011-04-10,15.12,2891.90,14,3300,HEMAVATHI-2011-04-10
1301,Hemavathi,2011,15,2011-04-11,14.83,2891.38,13,3300,HEMAVATHI-2011-04-11
1302,Hemavathi,2011,15,2011-04-12,14.54,2890.86,11,3300,HEMAVATHI-2011-04-12
1303,Hemavathi,2011,15,2011-04-13,14.24,2890.34,11,3300,HEMAVATHI-2011-04-13
1304,Hemavathi,2011,15,2011-04-14,13.95,2889.82,35,3325,HEMAVATHI-2011-04-14
1305,Hemavathi,2011,15,2011-04-15,13.66,2889.30,35,3325,HEMAVATHI-2011-04-15
1390,Hemavathi,2011,16,2011-04-16,13.37,2888.79,74,3300,HEMAVATHI-2011-04-16
1391,Hemavathi,2011,16,2011-04-17,13.17,2888.43,99,2350,HEMAVATHI-2011-04-17
1392,Hemavathi,2011,16,2011-04-18,12.96,2888.07,98,2350,HEMAVATHI-2011-04-18
1393,Hemavathi,2011,16,2011-04-19,12.76,2887.59,49,2350,HEMAVATHI-2011-04-19
1394,Hemavathi,2011,16,2011-04-20,12.55,2887.08,32,2350,HEMAVATHI-2011-04-20
1395,Hemavathi,2011,16,2011-04-21,12.34,2886.57,31,2350,HEMAVATHI-2011-04-21
1396,Hemavathi,2011,16,2011-04-22,12.13,2886.06,25,2350,HEMAVATHI-2011-04-22
1481,Hemavathi,2011,17,2011-04-23,11.93,2885.55,27,2350,HEMAVATHI-2011-04-23
1482,Hemavathi,2011,17,2011-04-24,11.72,2885.04,25,2350,HEMAVATHI-2011-04-24
1483,Hemavathi,2011,17,2011-04-25,11.51,2884.53,23,2350,HEMAVATHI-2011-04-25
1484,Hemavathi,2011,17,2011-04-26,11.30,2884.02,22,2350,HEMAVATHI-2011-04-26
1485,Hemavathi,2011,17,2011-04-27,11.10,2883.51,22,2350,HEMAVATHI-2011-04-27
1486,Hemavathi,2011,17,2011-04-28,10.89,2883,21,2350,HEMAVATHI-2011-04-28
1487,Hemavathi,2011,17,2011-04-29,10.73,2882.60,38,1850,HEMAVATHI-2011-04-29
1572,Hemavathi,2011,18,2011-04-30,10.56,2882.20,39,1850,HEMAVATHI-2011-04-30
1573,Hemavathi,2011,18,2011-05-01,10.40,2881.80,38,1850,HEMAVATHI-2011-05-01
1574,Hemavathi,2011,18,2011-05-02,10.24,2881.40,38,1850,HEMAVATHI-2011-05-02
1575,Hemavathi,2011,18,2011-05-03,10.07,2881,37,1850,HEMAVATHI-2011-05-03
1576,Hemavathi,2011,18,2011-05-04,9.91,2880.60,31,1850,HEMAVATHI-2011-05-04
1577,Hemavathi,2011,18,2011-05-05,9.76,2880.23,73,1750,HEMAVATHI-2011-05-05
1578,Hemavathi,2011,18,2011-05-06,9.61,2879.85,77,1800,HEMAVATHI-2011-05-06
1663,Hemavathi,2011,19,2011-05-07,9.45,2879.46,82,1850,HEMAVATHI-2011-05-07
1664,Hemavathi,2011,19,2011-05-08,9.29,2879.07,82,1850,HEMAVATHI-2011-05-08
1665,Hemavathi,2011,19,2011-05-09,9.13,2878.68,78,1850,HEMAVATHI-2011-05-09
1666,Hemavathi,2011,19,2011-05-10,8.97,2878.29,75,1850,HEMAVATHI-2011-05-10
1667,Hemavathi,2011,19,2011-05-11,8.81,2877.88,42,1850,HEMAVATHI-2011-05-11
1668,Hemavathi,2011,19,2011-05-12,8.65,2877.44,65,1850,HEMAVATHI-2011-05-12
1669,Hemavathi,2011,19,2011-05-13,8.48,2876.98,72,1942,HEMAVATHI-2011-05-13
1754,Hemavathi,2011,20,2011-05-14,8.32,2876.52,80,1950,HEMAVATHI-2011-05-14
1755,Hemavathi,2011,20,2011-05-15,8.15,2876.07,122,1950,HEMAVATHI-2011-05-15
1756,Hemavathi,2011,20,2011-05-16,7.99,2875.62,121,1950,HEMAVATHI-2011-05-16
1757,Hemavathi,2011,20,2011-05-17,7.83,2875.17,118,1950,HEMAVATHI-2011-05-17
1758,Hemavathi,2011,20,2011-05-18,7.67,2874.70,226,1950,HEMAVATHI-2011-05-18
1759,Hemavathi,2011,20,2011-05-19,7.54,2874.26,340,1850,HEMAVATHI-2011-05-19
1760,Hemavathi,2011,20,2011-05-20,7.41,2873.84,410,1850,HEMAVATHI-2011-05-20
1845,Hemavathi,2011,21,2011-05-21,7.28,2873.44,480,1850,HEMAVATHI-2011-05-21
1846,Hemavathi,2011,21,2011-05-22,7.17,2873.06,551,1850,HEMAVATHI-2011-05-22
1847,Hemavathi,2011,21,2011-05-23,7.06,2872.68,621,1850,HEMAVATHI-2011-05-23
1848,Hemavathi,2011,21,2011-05-24,6.95,2872.30,632,1850,HEMAVATHI-2011-05-24
1849,Hemavathi,2011,21,2011-05-25,6.84,2871.93,664,1850,HEMAVATHI-2011-05-25
1850,Hemavathi,2011,21,2011-05-26,6.74,2871.57,697,1850,HEMAVATHI-2011-05-26
1851,Hemavathi,2011,21,2011-05-27,6.63,2871.22,730,1850,HEMAVATHI-2011-05-27
1924,Hemavathi,2011,22,2011-05-28,6.56,2870.92,767,1620,HEMAVATHI-2011-05-28
1925,Hemavathi,2011,22,2011-05-29,6.45,2870.31,790,2020,HEMAVATHI-2011-05-29
1926,Hemavathi,2011,22,2011-05-30,6.34,2869.70,859,2090,HEMAVATHI-2011-05-30
1927,Hemavathi,2011,22,2011-05-31,6.25,2869.25,1254,2150,HEMAVATHI-2011-05-31
2000,Hemavathi,2011,23,2011-06-01,6.21,2868.99,1632,2150,HEMAVATHI-2011-06-01
2001,Hemavathi,2011,23,2011-06-02,6.19,2868.96,2075,2150,HEMAVATHI-2011-06-02
2002,Hemavathi,2011,23,2011-06-03,6.19,2868.94,2115,2150,HEMAVATHI-2011-06-03
2003,Hemavathi,2011,23,2011-06-04,6.18,2868.91,1955,2030,HEMAVATHI-2011-06-04
2004,Hemavathi,2011,23,2011-06-05,6.15,2868.83,1694,1970,HEMAVATHI-2011-06-05
2005,Hemavathi,2011,23,2011-06-06,6.21,2869,2060,1138,HEMAVATHI-2011-06-06
2006,Hemavathi,2011,23,2011-06-07,6.38,2869.95,3194,1050,HEMAVATHI-2011-06-07
2007,Hemavathi,2011,23,2011-06-08,6.53,2870.80,2850,1050,HEMAVATHI-2011-06-08
2008,Hemavathi,2011,23,2011-06-09,6.71,2871.50,3093,1050,HEMAVATHI-2011-06-09
2009,Hemavathi,2011,23,2011-06-10,7.02,2872.55,4249,675,HEMAVATHI-2011-06-10
2118,Hemavathi,2011,24,2011-06-11,7.36,2873.69,4358,350,HEMAVATHI-2011-06-11
2119,Hemavathi,2011,24,2011-06-12,7.84,2875.20,5752,200,HEMAVATHI-2011-06-12
2120,Hemavathi,2011,24,2011-06-13,8.65,2877.45,9702,200,HEMAVATHI-2011-06-13
2121,Hemavathi,2011,24,2011-06-14,9.25,2878.98,7186,200,HEMAVATHI-2011-06-14
2122,Hemavathi,2011,24,2011-06-15,9.69,2880.05,5289,200,HEMAVATHI-2011-06-15
2123,Hemavathi,2011,24,2011-06-16,10.16,2881.20,5678,200,HEMAVATHI-2011-06-16
2124,Hemavathi,2011,24,2011-06-17,10.56,2882.20,4963,200,HEMAVATHI-2011-06-17
2209,Hemavathi,2011,25,2011-06-18,10.97,2883.20,5397,633,HEMAVATHI-2011-06-18
2210,Hemavathi,2011,25,2011-06-19,11.30,2884,4822,1000,HEMAVATHI-2011-06-19
2211,Hemavathi,2011,25,2011-06-20,11.46,2884.41,2986,1000,HEMAVATHI-2011-06-20
2212,Hemavathi,2011,25,2011-06-21,11.60,2884.75,2656,1000,HEMAVATHI-2011-06-21
2213,Hemavathi,2011,25,2011-06-22,11.68,2884.94,1490,541,HEMAVATHI-2011-06-22
2214,Hemavathi,2011,25,2011-06-23,11.74,2885.10,1308,500,HEMAVATHI-2011-06-23
2215,Hemavathi,2011,25,2011-06-24,11.91,2885.50,2440,500,HEMAVATHI-2011-06-24
2300,Hemavathi,2011,26,2011-06-25,12.07,2885.90,2439,500,HEMAVATHI-2011-06-25
2301,Hemavathi,2011,26,2011-06-26,12.20,2886.22,2066,500,HEMAVATHI-2011-06-26
2302,Hemavathi,2011,26,2011-06-27,12.49,2886.94,3954,500,HEMAVATHI-2011-06-27
2303,Hemavathi,2011,26,2011-06-28,13.08,2888.28,7382,500,HEMAVATHI-2011-06-28
2304,Hemavathi,2011,26,2011-06-29,13.45,2888.94,5294,937,HEMAVATHI-2011-06-29
2305,Hemavathi,2011,26,2011-06-30,13.75,2889.46,3711,266,HEMAVATHI-2011-06-30
2306,Hemavathi,2011,26,2011-07-01,13.95,2889.82,2605,200,HEMAVATHI-2011-07-01
2391,Hemavathi,2011,27,2011-07-02,14.19,2890.25,3063,200,HEMAVATHI-2011-07-02
2392,Hemavathi,2011,27,2011-07-03,14.49,2890.78,3714,200,HEMAVATHI-2011-07-03
2393,Hemavathi,2011,27,2011-07-04,14.67,2891.10,2352,200,HEMAVATHI-2011-07-04
2394,Hemavathi,2011,27,2011-07-05,14.91,2891.53,3069,200,HEMAVATHI-2011-07-05
2395,Hemavathi,2011,27,2011-07-06,15.17,2891.99,3228,200,HEMAVATHI-2011-07-06
2396,Hemavathi,2011,27,2011-07-07,15.39,2892.38,2807,200,HEMAVATHI-2011-07-07
2397,Hemavathi,2011,27,2011-07-08,15.63,2892.81,3069,200,HEMAVATHI-2011-07-08
2482,Hemavathi,2011,28,2011-07-09,15.78,2893.07,1958,200,HEMAVATHI-2011-07-09
2483,Hemavathi,2011,28,2011-07-10,15.82,2893.14,721,200,HEMAVATHI-2011-07-10
2484,Hemavathi,2011,28,2011-07-11,16.04,2893.53,2808,200,HEMAVATHI-2011-07-11
2485,Hemavathi,2011,28,2011-07-12,16.26,2893.93,2874,200,HEMAVATHI-2011-07-12
2486,Hemavathi,2011,28,2011-07-13,16.32,2894.02,1503,850,HEMAVATHI-2011-07-13
2487,Hemavathi,2011,28,2011-07-14,16.41,2894.19,1769,594,HEMAVATHI-2011-07-14
2488,Hemavathi,2011,28,2011-07-15,16.67,2894.65,3563,500,HEMAVATHI-2011-07-15
2566,Hemavathi,2011,29,2011-07-16,17.08,2895.37,5717,958,HEMAVATHI-2011-07-16
2567,Hemavathi,2011,29,2011-07-17,17.78,2896.62,9214,1000,HEMAVATHI-2011-07-17
2568,Hemavathi,2011,29,2011-07-18,19.29,2899.31,18598,1000,HEMAVATHI-2011-07-18
2569,Hemavathi,2011,29,2011-07-19,20.71,2901.54,17426,1000,HEMAVATHI-2011-07-19
2570,Hemavathi,2011,29,2011-07-20,22.33,2903.93,19798,1000,HEMAVATHI-2011-07-20
2571,Hemavathi,2011,29,2011-07-21,22.33,2903.93,19798,1000,HEMAVATHI-2011-07-21
2572,Hemavathi,2011,29,2011-07-22,24.45,2906.95,12420,1000,HEMAVATHI-2011-07-22
2657,Hemavathi,2011,30,2011-07-23,25.18,2907.97,9516,1000,HEMAVATHI-2011-07-23
2658,Hemavathi,2011,30,2011-07-24,26.14,2909.28,12255,1000,HEMAVATHI-2011-07-24
2659,Hemavathi,2011,30,2011-07-25,27.15,2910.62,12748,1000,HEMAVATHI-2011-07-25
2660,Hemavathi,2011,30,2011-07-26,27.66,2911.28,6954,1000,HEMAVATHI-2011-07-26
2661,Hemavathi,2011,30,2011-07-27,28.27,2912.07,8152,1000,HEMAVATHI-2011-07-27
2662,Hemavathi,2011,30,2011-07-28,28.43,2912.27,2960,1000,HEMAVATHI-2011-07-28
2663,Hemavathi,2011,30,2011-07-29,28.62,2912.50,3242,1000,HEMAVATHI-2011-07-29
2748,Hemavathi,2011,31,2011-07-30,28.73,2912.63,2301,1000,HEMAVATHI-2011-07-30
2749,Hemavathi,2011,31,2011-07-31,29.20,2913.22,6618,1000,HEMAVATHI-2011-07-31
2750,Hemavathi,2011,31,2011-08-01,29.44,2913.51,3799,1000,HEMAVATHI-2011-08-01
2751,Hemavathi,2011,31,2011-08-02,29.79,2913.94,5116,1000,HEMAVATHI-2011-08-02
2752,Hemavathi,2011,31,2011-08-03,30.18,2914.40,5573,1000,HEMAVATHI-2011-08-03
2753,Hemavathi,2011,31,2011-08-04,31.04,2915.41,12164,2150,HEMAVATHI-2011-08-04
2754,Hemavathi,2011,31,2011-08-05,31.75,2916.24,12550,4200,HEMAVATHI-2011-08-05
2839,Hemavathi,2011,32,2011-08-06,32.30,2916.86,9713,3256,HEMAVATHI-2011-08-06
2840,Hemavathi,2011,32,2011-08-07,33.26,2917.94,28889,2467,HEMAVATHI-2011-08-07
2841,Hemavathi,2011,32,2011-08-08,33.98,2918.72,11557,3133,HEMAVATHI-2011-08-08
2842,Hemavathi,2011,32,2011-08-09,34.47,2919.25,8318,4658,HEMAVATHI-2011-08-09
2843,Hemavathi,2011,32,2011-08-10,34.66,2919.45,7550,5321,HEMAVATHI-2011-08-10
2844,Hemavathi,2011,32,2011-08-11,34.78,2919.58,6981,5500,HEMAVATHI-2011-08-11
2845,Hemavathi,2011,32,2011-08-12,34.94,2919.75,7913,6000,HEMAVATHI-2011-08-12
2930,Hemavathi,2011,33,2011-08-13,35.26,2920.09,11304,7525,HEMAVATHI-2011-08-13
2931,Hemavathi,2011,33,2011-08-14,35.27,2920.10,6776,6575,HEMAVATHI-2011-08-14
2932,Hemavathi,2011,33,2011-08-15,35.27,2920.10,6064,5975,HEMAVATHI-2011-08-15
2933,Hemavathi,2011,33,2011-08-16,35.17,2920,5260,6287,HEMAVATHI-2011-08-16
2934,Hemavathi,2011,33,2011-08-17,34.89,2919.70,3870,7000,HEMAVATHI-2011-08-17
2935,Hemavathi,2011,33,2011-08-18,34.69,2919.48,3562,5833,HEMAVATHI-2011-08-18
2936,Hemavathi,2011,33,2011-08-19,34.52,2919.30,3369,5211,HEMAVATHI-2011-08-19
3021,Hemavathi,2011,34,2011-08-20,34.38,2919.15,3762,5280,HEMAVATHI-2011-08-20
3022,Hemavathi,2011,34,2011-08-21,34.34,2919.10,4835,5280,HEMAVATHI-2011-08-21
3023,Hemavathi,2011,34,2011-08-22,34.45,2919.22,6658,5280,HEMAVATHI-2011-08-22
3024,Hemavathi,2011,34,2011-08-23,34.29,2919.05,3594,5330,HEMAVATHI-2011-08-23
3025,Hemavathi,2011,34,2011-08-24,34.10,2918.85,3324,5380,HEMAVATHI-2011-08-24
3026,Hemavathi,2011,34,2011-08-25,33.84,2918.57,2965,5880,HEMAVATHI-2011-08-25
3027,Hemavathi,2011,34,2011-08-26,33.58,2918.28,3109,6130,HEMAVATHI-2011-08-26
3112,Hemavathi,2011,35,2011-08-27,33.32,2918,3216,6130,HEMAVATHI-2011-08-27
3113,Hemavathi,2011,35,2011-08-28,33.24,2917.91,5293,6130,HEMAVATHI-2011-08-28
3114,Hemavathi,2011,35,2011-08-29,33.20,2917.87,5807,6130,HEMAVATHI-2011-08-29
3115,Hemavathi,2011,35,2011-08-30,33.38,2918.07,8303,6130,HEMAVATHI-2011-08-30
3116,Hemavathi,2011,35,2011-08-31,33.83,2918.55,9990,4755,HEMAVATHI-2011-08-31
3117,Hemavathi,2011,35,2011-09-01,34.35,2919.11,9475,3380,HEMAVATHI-2011-09-01
3118,Hemavathi,2011,35,2011-09-02,35.18,2920.01,13129,3380,HEMAVATHI-2011-09-02
3175,Hemavathi,2011,36,2011-09-03,36.27,2921.14,17238,4513,HEMAVATHI-2011-09-03
3176,Hemavathi,2011,36,2011-09-04,36.70,2921.58,17450,12443,HEMAVATHI-2011-09-04
3177,Hemavathi,2011,36,2011-09-05,36.80,2921.69,18116,16797,HEMAVATHI-2011-09-05
3178,Hemavathi,2011,36,2011-09-06,36.60,2921.48,13918,16175,HEMAVATHI-2011-09-06
3179,Hemavathi,2011,36,2011-09-07,36.53,2921.41,11846,12538,HEMAVATHI-2011-09-07
3180,Hemavathi,2011,36,2011-09-08,36.58,2921.46,9981,9330,HEMAVATHI-2011-09-08
3181,Hemavathi,2011,36,2011-09-09,36.66,2921.54,8877,7888,HEMAVATHI-2011-09-09
3266,Hemavathi,2011,37,2011-09-10,36.58,2921.46,8128,8929,HEMAVATHI-2011-09-10
3267,Hemavathi,2011,37,2011-09-11,36.58,2921.46,7240,7146,HEMAVATHI-2011-09-11
3268,Hemavathi,2011,37,2011-09-12,36.49,2921.37,6060,6970,HEMAVATHI-2011-09-12
3269,Hemavathi,2011,37,2011-09-13,36.48,2921.36,5831,5846,HEMAVATHI-2011-09-13
3270,Hemavathi,2011,37,2011-09-14,36.51,2921.39,6137,5705,HEMAVATHI-2011-09-14
3271,Hemavathi,2011,37,2011-09-15,36.49,2921.37,5600,5730,HEMAVATHI-2011-09-15
3272,Hemavathi,2011,37,2011-09-16,36.57,2921.45,5577,4588,HEMAVATHI-2011-09-16
3362,Hemavathi,2011,38,2011-09-17,36.66,2921.54,6164,5063,HEMAVATHI-2011-09-17
3363,Hemavathi,2011,38,2011-09-18,36.58,2921.46,4879,5680,HEMAVATHI-2011-09-18
3364,Hemavathi,2011,38,2011-09-19,36.49,2921.37,4767,5680,HEMAVATHI-2011-09-19
3365,Hemavathi,2011,38,2011-09-20,36.39,2921.26,4549,5680,HEMAVATHI-2011-09-20
3366,Hemavathi,2011,38,2011-09-21,36.23,2921.10,3989,5680,HEMAVATHI-2011-09-21
3367,Hemavathi,2011,38,2011-09-22,36.07,2920.93,3765,5568,HEMAVATHI-2011-09-22
3368,Hemavathi,2011,38,2011-09-23,35.87,2920.72,3369,5617,HEMAVATHI-2011-09-23
